Date,DayOfWeek,PdDistrict,new_cat_domestic,new_cat_drug,new_cat_kidnap,new_cat_others,new_cat_public,new_cat_sex,new_cat_suicide,new_cat_theft,sum_crime_district,sunrise_time,sunset_time,daylight_hours
01/01/2016,Friday,INGLESIDE,0,0,0,12,17,2,0,19,50,725,1701,9.6
01/01/2016,Friday,MISSION,2,2,0,8,30,0,0,15,57,725,1701,9.6
01/01/2016,Friday,NORTHERN,1,2,0,6,21,1,0,32,63,725,1701,9.6
01/01/2016,Friday,PARK,4,1,0,4,3,0,0,12,24,725,1701,9.6
01/01/2016,Friday,RICHMOND,0,0,0,2,8,0,0,11,21,725,1701,9.6
01/01/2016,Friday,SOUTHERN,1,3,0,9,20,1,0,25,59,725,1701,9.6
01/01/2016,Friday,TARAVAL,0,0,0,10,7,2,0,11,30,725,1701,9.6
01/01/2016,Friday,TENDERLOIN,1,2,0,4,10,0,0,18,35,725,1701,9.6
01/01/2017,Sunday,BAYVIEW,1,0,0,8,11,1,0,5,26,725,1702,9.616666666666667
01/01/2017,Sunday,CENTRAL,1,0,0,4,17,0,0,24,46,725,1702,9.616666666666667
01/01/2017,Sunday,INGLESIDE,0,0,0,6,12,4,0,13,35,725,1702,9.616666666666667
01/01/2017,Sunday,MISSION,3,0,1,11,21,2,0,27,65,725,1702,9.616666666666667
01/01/2017,Sunday,NORTHERN,2,0,0,3,12,0,0,31,48,725,1702,9.616666666666667
01/01/2017,Sunday,PARK,2,0,0,5,10,0,0,12,29,725,1702,9.616666666666667
01/01/2017,Sunday,RICHMOND,2,0,0,5,4,1,0,7,19,725,1702,9.616666666666667
01/01/2017,Sunday,SOUTHERN,0,1,0,11,19,2,0,36,69,725,1702,9.616666666666667
01/01/2017,Sunday,TARAVAL,2,0,0,3,10,0,0,14,29,725,1702,9.616666666666667
01/01/2017,Sunday,TENDERLOIN,0,0,0,3,8,0,0,7,18,725,1702,9.616666666666667
01/02/2012,Monday,BAYVIEW,0,0,0,6,10,0,0,9,25,725,1702,9.616666666666667
01/02/2012,Monday,CENTRAL,0,0,0,3,13,1,0,9,26,725,1702,9.616666666666667
01/02/2012,Monday,INGLESIDE,0,1,0,6,11,0,0,8,26,725,1702,9.616666666666667
01/02/2012,Monday,MISSION,1,2,0,8,12,0,0,15,38,725,1702,9.616666666666667
01/02/2012,Monday,NORTHERN,2,0,0,4,10,1,0,11,28,725,1702,9.616666666666667
01/02/2012,Monday,PARK,0,0,0,2,1,0,0,11,14,725,1702,9.616666666666667
01/02/2012,Monday,RICHMOND,0,0,0,0,4,0,0,11,15,725,1702,9.616666666666667
01/02/2012,Monday,SOUTHERN,1,2,0,4,7,1,0,16,31,725,1702,9.616666666666667
01/02/2012,Monday,TARAVAL,0,0,0,0,3,0,0,5,8,725,1702,9.616666666666667
01/02/2012,Monday,TENDERLOIN,1,1,0,10,10,0,0,7,29,725,1702,9.616666666666667
01/02/2013,Wednesday,BAYVIEW,4,3,0,11,12,0,0,9,39,725,1703,9.633333333333333
01/02/2013,Wednesday,CENTRAL,1,0,0,1,9,0,0,19,30,725,1703,9.633333333333333
01/02/2013,Wednesday,INGLESIDE,2,0,0,7,6,0,0,9,24,725,1703,9.633333333333333
01/02/2013,Wednesday,MISSION,1,2,0,10,12,4,0,16,45,725,1703,9.633333333333333
01/02/2013,Wednesday,NORTHERN,1,2,0,7,14,0,0,24,48,725,1703,9.633333333333333
01/02/2013,Wednesday,PARK,1,1,0,4,6,0,0,4,16,725,1703,9.633333333333333
01/02/2013,Wednesday,RICHMOND,0,0,0,3,4,0,0,6,13,725,1703,9.633333333333333
01/02/2013,Wednesday,SOUTHERN,1,4,0,8,8,0,0,34,55,725,1703,9.633333333333333
01/02/2013,Wednesday,TARAVAL,0,3,0,3,4,0,0,9,19,725,1703,9.633333333333333
01/02/2013,Wednesday,TENDERLOIN,0,3,0,4,8,0,0,6,21,725,1703,9.633333333333333
01/02/2014,Thursday,BAYVIEW,3,1,1,4,11,0,0,9,29,725,1702,9.616666666666667
01/02/2014,Thursday,CENTRAL,0,1,0,2,5,0,0,13,21,725,1702,9.616666666666667
01/02/2014,Thursday,INGLESIDE,3,2,0,2,9,0,0,13,29,725,1702,9.616666666666667
01/02/2014,Thursday,MISSION,0,5,0,13,12,0,0,16,46,725,1702,9.616666666666667
01/02/2014,Thursday,NORTHERN,1,0,0,6,10,0,0,24,41,725,1702,9.616666666666667
01/02/2014,Thursday,PARK,1,1,0,4,5,0,0,8,19,725,1702,9.616666666666667
01/02/2014,Thursday,RICHMOND,1,0,0,3,3,0,0,7,14,725,1702,9.616666666666667
01/02/2014,Thursday,SOUTHERN,2,3,0,5,11,0,0,38,59,725,1702,9.616666666666667
01/02/2014,Thursday,TARAVAL,0,0,0,5,7,2,0,6,20,725,1702,9.616666666666667
01/02/2014,Thursday,TENDERLOIN,0,1,0,2,4,0,0,4,11,725,1702,9.616666666666667
01/02/2015,Friday,BAYVIEW,1,2,0,13,12,0,0,15,43,725,1702,9.616666666666667
01/02/2015,Friday,CENTRAL,0,0,0,3,9,2,0,27,41,725,1702,9.616666666666667
01/02/2015,Friday,INGLESIDE,0,1,0,3,10,0,0,18,32,725,1702,9.616666666666667
01/02/2015,Friday,MISSION,0,3,0,10,14,1,0,19,47,725,1702,9.616666666666667
01/02/2015,Friday,NORTHERN,0,1,1,8,9,0,0,28,47,725,1702,9.616666666666667
01/02/2015,Friday,PARK,3,1,0,1,2,0,0,7,14,725,1702,9.616666666666667
01/02/2015,Friday,RICHMOND,1,0,0,1,4,0,0,13,19,725,1702,9.616666666666667
01/02/2015,Friday,SOUTHERN,3,3,0,2,14,1,0,49,72,725,1702,9.616666666666667
01/02/2015,Friday,TARAVAL,0,0,0,7,6,0,0,13,26,725,1702,9.616666666666667
01/02/2015,Friday,TENDERLOIN,1,3,0,2,6,0,0,9,21,725,1702,9.616666666666667
01/02/2016,Saturday,BAYVIEW,0,1,0,3,8,0,0,17,29,725,1702,9.616666666666667
01/02/2016,Saturday,CENTRAL,0,0,0,5,5,0,0,24,34,725,1702,9.616666666666667
01/02/2016,Saturday,INGLESIDE,3,0,0,2,5,0,0,7,17,725,1702,9.616666666666667
01/02/2016,Saturday,MISSION,3,1,0,13,22,1,0,23,63,725,1702,9.616666666666667
01/02/2016,Saturday,NORTHERN,0,2,0,3,15,1,0,31,52,725,1702,9.616666666666667
01/02/2016,Saturday,PARK,0,0,0,2,1,0,0,4,7,725,1702,9.616666666666667
01/02/2016,Saturday,RICHMOND,0,0,0,4,1,0,0,10,15,725,1702,9.616666666666667
01/02/2016,Saturday,SOUTHERN,1,4,0,13,13,0,0,45,76,725,1702,9.616666666666667
01/02/2016,Saturday,TARAVAL,0,0,0,4,6,0,0,12,22,725,1702,9.616666666666667
01/02/2016,Saturday,TENDERLOIN,1,1,0,4,7,0,0,7,20,725,1702,9.616666666666667
