Date,DayOfWeek,PdDistrict,new_cat_domestic,new_cat_drug,new_cat_kidnap,new_cat_others,new_cat_public,new_cat_sex,new_cat_suicide,new_cat_theft,sum_crime_district
01/16/2012,Monday,SOUTHERN,0,2,0,8,16,0,0,19,45
01/16/2012,Monday,TARAVAL,1,2,1,6,5,0,0,11,26
01/16/2012,Monday,TENDERLOIN,0,2,1,4,2,0,0,6,15
01/16/2013,Wednesday,BAYVIEW,0,0,1,3,8,0,0,16,28
01/16/2013,Wednesday,CENTRAL,0,0,0,5,7,0,0,15,27
01/16/2013,Wednesday,INGLESIDE,1,0,0,2,6,0,0,11,20
01/16/2013,Wednesday,MISSION,2,2,0,8,9,1,0,24,46
01/16/2013,Wednesday,NORTHERN,2,2,0,6,8,0,0,16,34
01/16/2013,Wednesday,PARK,0,0,0,7,4,0,0,7,18
01/16/2013,Wednesday,RICHMOND,3,0,0,2,2,0,0,2,9
01/16/2013,Wednesday,SOUTHERN,0,2,0,6,10,1,0,28,47
